name,josephus,rest
Simon,21,163
Joseph,16,155
Eleazar,15,120
Judah,10,116
Yohanan,9,94
Hananiah,10,64
Joshua,12,56
Jonathan,7,49
Mattathias,7,43
Ishmael,2,26
Jacob,4,26
Menahem,1,25
Hanan,5,23
Saul,2,23
Honi,0,21
Yoezer,3,21
Levi,4,20
Dositheus,1,19
Zachariah,3,19
Abba,0,18
Samuel,2,16
Hezekiah,2,14
Alexander,6,12
Phineas,3,12
Benaiah,1,9
Jason,0,9
Tehinah,0,9
Aqub,0,8
Azariah,0,8
Eutolmus,0,8
Halafta,0,8
Manaseh,1,8
Nathan,0,8
Pappus,0,8
Tobiah,0,8
Yair,1,8
Hillel,0,7
Hyrcanus,1,7
Isaac,0,7
Nathanel,1,7
Ahi,0,6
Cleopas,0,6
Dorotheus,2,6
Elisha,0,6
Gamaliel,3,6
Hagai,0,6
Isaiah,0,6
Marcus,0,6
Reuben,0,6
Thaddaius,0,6
Benjamin,0,5
Malka,1,5
Nahum,0,5
Nehemiah,0,5
Nehonia,0,5
Rabba,0,5
Shemayah,0,5
Yaqim,1,5
Abshalom,1,4
Baruch,1,4
Eros,0,4
Ezra,0,4
Gaius,0,4
Guria,2,4
Halfai,0,4
Ptolemy,1,4
Sabba,0,4
Shabi,0,4
Theodorus,1,4
Theodotus,1,4
Tryphon,1,4
Yitra,0,4
Yonah,0,4
Zebediah,0,4
Zenon,0,4
Abdi,0,3
Andreas,0,3
Aqash,0,3
Babi,0,3
Butes,0,3
Elasah,0,3
Gira,1,3
Harasha,0,3
Herod,10,3
Hosea,0,3
Justus,2,3
Marion,0,3
Nicanor,0,3
Nunas,0,3
Pedayah,0,3
Philo,0,3
Playah,0,3
Rufus,0,3
Seth,1,3
Sheila,1,3
Shlamiah,0,3
Teima,0,3
Zoilus,0,3
Abaskantus,0,2
Adi,0,2
Agra,0,2
Agrippa,4,2
Ahiah,0,2
Aiala,0,2
Amram,1,2
Annianus,0,2
Antigonus,0,2
Antipatrus,6,2
Aquila,0,2
Ariston,1,2
Ašna,0,2
Beroqa,0,2
Botnit,0,2
Buneim,0,2
Crocus,0,2
Cunerius,0,2
Diodotus,1,2
Ezekiel,0,2
Gabinus,0,2
Gerida,0,2
Hatla,0,2
Helkiah,3,2
Hidqa,0,2
Hiyya,0,2
Hoshaiah,0,2
Jeremiah,1,2
Julius,2,2
Lollianus,0,2
Lysias,0,2
Meir,2,2
Meyasha,0,2
Nahmani,0,2
Nehorai,0,2
Nicodemus,1,2
Nothus,0,2
Pantheras,0,2
